Sura_Number,Verse_Number,Subtitle_Before_Verse,VerseText_Part1,Subtitle_Middle_Of_Verse,VerseText_after_MidSubtitle_if_any,Footnote,
,10,,"তাদের অন্তরে রয়েছে ব্যধি। পরিনামে,আল্লাহ তাদের ব্যধি আরো বাড়িয়ে দেন। তারা তাদের মিথ্যাবাদিতার জন্য নিজেদের উপর টেনে এনেছে যন্ত্রণাদায়ক শাস্তি।",,,,
,11,,"যখন তাদেরকে বলা হয়,“মন্দ কাজ করো না,”তারা বলে,“কিন্তু আমরা তো সৎকর্মী!”",,,,
,12,,"আসলে,তারা মন্দকর্মী,কিন্তু তারা তা বোঝে না।",,,,
,13,,"যখন তাদের বলা হয়,“বিশ্বাস করো সে লোকদের মতো যারা বিশ্বাস করেছে,”তারা বলে,“যারা বিশ্বাস করেছে,সে বোকাদের মত আমরাও কি বিশ্বাস করবো?” আসলে তারাই বোকা,কিন্তু তারা জানে না।",,,,
,14,,"যখন তারা বিশ্বাসীদের সাথে সাক্ষাৎ করে,তারা বলে,“আমরা বিশ্বাস করি,”কিন্তু যখন তারা তাদের শয়তানদের সাথে একান্তে হয়,তারা বলে,“আমরা তোমাদের সাথে আছি;আমরা তো কেবল উপহাস করছিলাম।”",,,,
,15,,"আল্লাহ তাদের উপহাস করেন,এবং তাদের পরিচালিত করেন তাদের সীমালঙ্ঘনে বিভ্রান্ত অবস্থায়।",,,,
,16,,"এরা তারাই যারা পথভ্রষ্টতা কিনেছে পথ-নির্দেশনার মূল্যে। এমন ব্যবসা কখনো উন্নতি করে না,না তারা কোনো পথনির্দেশনা পায়।",,,,
,17,,"এদের উদাহরণ হলো তাদের মতো যারা আগুন জ্বালালো,আর যখন তা তাদের চারপাশে আলো ছড়াতে আরম্ভ করলো,আল্লাহ তাদের আলো তুলে নিয়ে তাদের অন্ধকারে ছেঁড়ে দেন,তারা দেখতে পায় না। ",,,,
,18,,"বধির,বোবা এবং অন্ধ; তারা ফিরতে ব্যর্থ।",,,,
,19,,"আরেকটি উদাহরণঃ আকাশ থেকে কোন ঝড়োবৃষ্টি যাতে আছে অন্ধকার,বজ্র,এবং বিদ্যুত চমক। তারা মৃত্যু এড়াতে তাদের কানে আঙ্গুল দেয়। আল্লাহ অবিশ্বাসীদের সম্পর্কে সম্পূর্ণ অবগত।",,,,
,20,বিশ্বাসের আলো,"বিদ্যুত চমক তাদের দৃষ্টিশক্তি প্রায় ছিনিয়ে নেয়। যখন তা তাদের জন্য আলো দেয়,তারা সামনে এগোয়,এবং যখন তা অন্ধকা্রে রুপ নেয়,তারা স্থির দাঁড়িয়ে যায়। যদি আল্লাহ চান,তিনি* তাদের শ্রবণ ও দৃষ্টিশক্তি তুলে নিতে পারেন। আল্লাহ সর্বশক্তিমান।",,,***,
,21,,"হে লোকসকল,একমাত্র তোমাদের প্রভুর উপাসনা করো – সেই একজন যিনি সৃষ্টি করেছেন তোমাদেরকে এবং তাদেরকে যারা তোমাদের পূর্বে ছিল – যাতে তোমরা রক্ষা পেতে পারো।",,,,
,22,,"সেই সত্ত্বা,যিনি পৃথিবীকে তোমাদের জন্য বাসযোগ্য করেছেন,এবং আকাশকে করেছেন একটি কাঠামো। তোমাদের জীবিকার জন্য সব ধরণের ফলমূল উৎপন্ন করতে তিনি আকাশ থেকে পানি বর্ষণ করেন। তোমরা আল্লাহর সাথে প্রতিদ্বন্দিতা করতে উপাস্যদের স্থাপন করবে না,এখন যেহেতু তোমরা জানো।",,,,
,23,গাণিতিক চ্যালেঞ্জ,"যদি তোমাদের কোনো সন্দেহ থাকে সে সম্পর্কে,যা আমরা আমাদের দাসের* কাছে প্রকাশ করেছি,তাহলে এই সুরার মতো একটি সুরা তৈরী করো,এবং ডাকো আল্লাহর বিপক্ষে তোমাদের নিজেদের সাক্ষীদেরকে,যদি তোমরা সত্যবাদী হও।",,,***,
,24,নরকের রূপক বর্ণনা,"যদি তোমরা তা করতে না পারো – এবং তোমরা তা কখনোই করতে পারবে না – তাহলে নরকের আগুনের ব্যাপারে সতর্ক হও,যার জ্বালানী হলো মানুষ এবং পাথর; এটা অবিশ্বাসীদের জন্য অপেক্ষা করছে।",,,,
,25,স্বর্গের রূপক বর্ণনা,"সুসংবাদ দাও তাদেরকে,যারা বিশ্বাস করে এবং সৎ জীবনযাপন করে যে,তাদের জন্য থাকবে প্রবাহিত ঝর্নাধারা সহ বাগানসমূহ। যখন সেখানে তাদেরকে কোন ফল খেতে দেয়া হবে,তারা বলবে,“এটা তো তা-ই যা আমাদেরকে পূর্বে দেয়া হয়েছিল।”এভাবে,তাদেরকে রূপকধর্মী বর্ণনা দেয়া হয়েছে। সেখানে তাদের জন্য থাকবে শুদ্ধ সহধর্মী/সহধর্মিণী,এবং সেখানে তারা চিরকাল বসবাস করবে।",,,,
,26,,"আল্লাহ কোনো ধরণের রূপকের* মাধ্যমে উদাহরণ দিতে লজ্জা বোধ করেন না,তা সে হোক ছোট মশা কিংবা এর থেকে বড় কিছু। আর যারা বিশ্বাস করে,তারা জানে যে,এটা তাদের প্রভুর পক্ষ থেকে সত্য। আর যারা অবিশ্বাস করে,তারা বলে,“আল্লাহ এমন রূপক দ্বারা কি বুঝিয়েছেন?”তিনি এর দ্বারা অনেককেই বিপথগামী করেন,এবং এর দ্বারা অনেককেই সঠিক পথে পরিচালিত করেন। কিন্তু,তিনি মন্দ ছাড়া অন্য কাউকে এর দ্বারা বিপথগামী করেন না,",,,***,
,27,,"যারা আল্লাহর চুক্তি ভংগ করে,তা মেনে চলার অঙ্গীকার করার পর,বিচ্ছিন্ন হয় তা থেকে,যাতে আল্লাহ যুক্ত হতে আদেশ দিয়েছেন,এবং মন্দ কাজ করে। এরাই হতভাগ্য।",,,,
,28,অবিশ্বাসীদের জন্য দুটো মৃত্যু এবং দুটো জন্ম*,"কিভাবে তোমরা আল্লাহতে অবিশ্বাস করতে পারো যখন তোমরা ছিলে মৃত এবং তিনি তোমাদের জীবন দিয়েছেন,তারপর তিনি তোমাদের মৃত্যু দেন,তারপর তিনি আবার তোমাদের জীবিত করেন,তারপর তাঁরই কাছে তোমরা চুড়ান্তভাবে ফিরে যাও? ",,,***,
,29,,"তিনিই একজন,যিনি তোমাদের জন্য পৃথিবীতে সবকিছু সৃষ্টি করলেন, তারপর তিনি আকাশের দিকে ফিরলেন আর তাতে সাতটি মহাবিশ্ব সুষম করলেন, এবং তিনি সবকিছু সম্পর্কে সম্পূর্ণ অবগত।",,,,
,30,শয়তানঃ একজন অস্থায়ী “উপাস্য”*,"স্মরণ করো যে তোমার প্রভু ফেরেশতাদের বললেন,“আমি পৃথিবীতে একজন প্রতিনিধি (একজন অস্থায়ী উপাস্য) প্রতিষ্ঠা করতে যাচ্ছি।”তারা বলল,“আপনি কি সেখানে এমন কাউকে পাঠাবেন,যে সেখানে মন্দের প্রসার ঘটাবে এবং রক্তপাত করবে,যখন কিনা আমরা আপনার গুণগাণ করছি,আপনার মহিমা ঘোষণা করছি,এবং আপনার পূর্ণ কর্তৃত্ব মেনে চলছি?”তিনি বললেন,“আমি জানি যা তোমরা জানো না।”	",,,***,
,31,পরীক্ষার শুরু,"তিনি আদমকে সবকিছুর নাম* শেখালেন তারপর সেগুলোকে ফেরেশতাদের কাছে উপস্থাপন করে বললেন,“আমাকে এগুলোর নাম বল,যদি তোমরা সঠিক হও।”",,,***,
,32,,"তারা বলল,“আপনি মহিমান্বিত,যা আপনি আমাদেরকে শিখিয়েছেন তা ছাড়া আমাদের কোনো জ্ঞান নেই। আপনিই সর্বজ্ঞ,পরম জ্ঞানী।”",,,,
,33,,"তিনি বললেন,“হে আদম,তাদেরকে এগুলোর নাম বলে দাও।”যখন সে তাদেরকে সেগুলোর নাম বলে দিলো,তিনি বললেন,“আমি কি তোমাদেরকে বলিনি যে আমি আকাশমন্ডলী এবং পৃথিবীর গোপন বিষয়সমূহ জানি? আমি জানি যা তোমরা প্রকাশ করো,এবং যা তোমরা গোপন করো।”",,,,
,34,,"যখন আমরা ফেরেশতাদের বললাম,“আদমের সামনে সেজদাবনত হও,”তারা সেজদাবনত হল,শয়তান ছাড়া; সে প্রত্যাখ্যান করল,সে ছিল অত্যন্ত উদ্ধত এবং এক অবিশ্বাসী।",,,,
,35,,"আমরা বললাম,”হে আদম, তোমার স্ত্রীর সাথে স্বর্গে বাস করো এবং সেখান থেকে ইচ্ছেমতো খাও,যেমন তোমাদের পছন্দ,কিন্তু এই গাছের কাছে যেও না,পাছে তোমাদের পাপ হয়।",,,,
,36,,"কিন্তু শয়তান তাদেরকে ধোঁকা দিল,এবং সেখান থেকে তাদের বহিষ্কারের কারণ হল। আমরা বললাম,“একে অপরের শত্রু হিসেবে নেমে যাও। পৃথিবীতে হবে তোমাদের কিছু সময়ের জন্য বসবাস এবং জীবিকা।”",,,,
,37,নির্দিষ্ট শব্দাবলী*,"তারপর,আদম তার প্রভুর কাছ থেকে শব্দাবলী গ্রহন করলো,যার দ্বারা তিনি তাকে উদ্ধার করলেন। তিনিই উদ্ধারকারী,পরম দয়ালু।",,,,
,38,,"আমরা বললাম,“এখান থেকে নেমে যাও,তোমরা সবাই। যখন আমার কাছ থেকে তোমাদের কাছে পথনির্দেশনা আসে,তখন যারা আমার পথনির্দেশনা অনুসরণ করে তাদের কোনো ভয় থাকবে না,না তারা শোক করবে।",,,,
,39,,"“আর যারা অবিশ্বাস করে এবং আমাদের প্রত্যাদেশসমূহ প্রত্যাখ্যান করে,তারা হবে নরকের বাসিন্দা,যেখানে তারা চিরকাল থাকবে।”",,,,
,40,ঐশ্বরিক প্রত্যাদেশ সকল ইহুদীদের কাছেঃ “তোমরা এই কোরআনে বিশ্বাস করবে”,"হে ইসরাঈলের সন্তানেরা,স্মরণ করো আমার অনুগ্রহ,যা আমি তোমাদের উপর অর্পণ করেছি এবং পূর্ণ করো তোমাদের অঙ্গীকারকৃত অংশ,যাতে আমি পূর্ণ করি আমার অঙ্গীকারকৃত অংশ,এবং আমাকে ভক্তি-শ্রদ্ধা করো।",,,,
,41,,"তোমরা বিশ্বাস করবে তাতে যা আমি এখানে প্রকাশ করেছি,যা তোমাদের কাছে আছে তা সুনিশ্চিত করে; এটাকে প্রত্যাখ্যানে প্রথম হইও না। আমার প্রত্যাদেশনাবলীকে সামান্য মূল্যে বিক্রি করো না এবং আমার প্রতি মনোযোগ দাও।",,,,
,42,,"সত্যকে মিথ্যার সাথে মিশ্রিত করো না,আর জেনে-শুনে সত্যকে গোপন করো না",,,,
,43,,"তোমরা সংযোগ প্রার্থণা (সালাত) পালন করবে এবং বাধ্যতামূলক দান (যাকাত) প্রদান করবে,এবং অবনত হবে (রুকু করবে) তাদের সাথে যারা অবনত হয় (রুকু করে)।",,,,
,44,,"তোমরা কি মানুষকে সৎকর্মী হতে উদবুদ্ধ করো,অথচ নিজেদেরকেই ভুলে যাও,যদিও তোমরা ঐশীগ্রন্থ পড়ো? তোমরা কি বুঝো না?",,,,
,45,,"তোমরা সাহায্য প্রার্থণা করবে ধৈর্য্য এবং সংযোগ প্রার্থণা (সালাতের) মাধ্যমে। এটা প্রকৃতপক্ষে কঠিন,কিন্তু ভক্তদের জন্য নয়।",,,,
,46,,যারা বিশ্বাস করে যে তারা তাদের প্রভুর সাথে সাক্ষাত করবে আর তাঁর কাছে তারা অবশেষে ফিরে যাবে।,,,,
,47,,"হে ইসরাইলের সন্তানেরা,স্মরণ করো আমার অনুগ্রহ যা আমি তোমাদের উপর প্রদান করেছি,এবং যে আমি তোমাদেরকে অন্য যেকোন লোকের চেয়ে বেশি সৌভাগ্যশালী করেছি।",,,,
,48,,"সেদিনের ব্যাপারে সাবধান হও যখন না কেউ কারো উপকারে আসতে পারে,না কোনো সুপারিশ গ্রহণ করা হবে,না কোনো মুক্তিপণ দেয়া যাবে,না কেউ সাহায্যপ্রাপ্ত হতে পারবে।",,,,
,49,,"স্মরণ করো যে আমরা তোমাদেরকে ফেরাউনের লোকদের থেকে রক্ষা করেছিলাম যারা তোমাদের উপর নির্মম অত্যাচার চালিয়েছিল,তোমাদের পুত্রদের হত্যা করতো আর কন্যাদের ছেড়ে দিতো। তোমাদের প্রভুর পক্ষ থেকে সেটা ছিল এক কঠোর পরীক্ষা।",,,,
,50,,"স্মরণ করো যে,আমরা তোমাদের জন্য সাগরকে বিভক্ত করেছিলাম; আমরা তোমাদের রক্ষা করেছিলাম এবং তোমাদের চোখের সামনে ফিরাউনের লোকদের ডুবিয়ে দিয়েছিলাম।",,,,
,51,,"এরপরও,যখন আমরা মুসাকে চল্লিশ রাতের জন্য ডেকেছিলাম,তোমরা তার অনুপস্থিতিতে বাছুর পূজা করেছিলে এবং পাপপূর্ন হয়ে পড়েছিলে।*",,,***,
,52,,"তবুও,এসবের পরে আমরা তোমাদেরকে ক্ষমা করেছিলাম যাতে তোমরা কৃতজ্ঞ হও।",,,,
,53,,"স্মরণ করো যে,আমরা মুসাকে দিয়েছিলাম ঐশীগ্রন্থ এবং বিধিবদ্ধ আইনগ্রন্থ,যাতে তোমরা সুপথপ্রাপ্ত হতে পারো।",,,,
,54,আপনাদের ‘আমিত্ব’কে (অহংবোধকে) হত্যা করুন,"স্মরণ করো যে,মুসা তার লোকদের বলেছিল,“হে আমার লোকেরা,বাছুর পূজা করে তোমরা তোমাদের আত্মার ক্ষতি করেছ। তোমরা অবশ্যই তোমাদের স্রষ্টার কাছে অনুশোচনা করবে। তোমরা তোমাদের ‘আমিত্ব’কে (অহংবোধকে) হত্যা করবে। তোমাদের স্রষ্টার দৃষ্টিতে এটা তোমাদের জন্য উত্তম।”তিনি  তোমাদের উদ্ধার করেছিলেন। তিনি উদ্ধারকর্তা,পরম দয়ালু।",,,,
,55,বাস্তব প্রমাণ*,"স্মরণ করো যে,তোমরা বলেছিলে,“হে মুসা,আমরা বিশ্বাস করবো না যতক্ষণ না আমরা আল্লাহকে স্বশরীরে দেখছি।”ফলস্বরুপ,বজ্র তোমাদের আঘাত করলো,যখন তোমরা তাকিয়েছিলে।",,,***,
,56,,"তারপর,তোমরা মরে যাবার পর,আমরা তোমাদের পূনর্জীবিত করলাম,যাতে তোমরা কৃতজ্ঞ হও।",,,,
,57,,আমরা তোমাদেরকে (সিনাইয়ে) মেঘমালা দিয়ে ছায়া দান করেছিলাম এবং তোমাদের কাছে অবতীর্ণ করেছিলাম ‘মান্না’ এবং কোয়েলঃ “তোমাদের জন্য আমাদের দেয়া ভালো জিনিস থেকে খাও।”তারা (বিদ্রোহ করে) আমাদের ক্ষতি করেনি; তারা শুধু নিজেদের আত্মারই ক্ষতি করেছিল।,,,,
,58,আল্লাহর প্রতি আস্থার অভাবঃ তারা জেরুজালেমে প্রবেশ করতে অস্বীকৃতি জানায়,"স্মরন করো যে আমরা বলেছিলাম,""এই শহরে প্রবেশ করো, যেখানে তোমাদের পছন্দমতো অনেক জীবিকা পাবে। শুধু নম্রভাবে দরজা দিয়ে প্রবেশ করো, এবং লোকদের সাথে সুন্দর ব্যবহার করো। তাহলে আমরা তোমাদের পাপসমূহ ক্ষমা করে দেব, এবং ধার্মিকদের জন্য পুরষ্কার বাড়িয়ে দেব।",,,,
,59,,"কিন্তু,তাদের মধ্যকার মন্দ লোকেরা তাদেরকে দেয়া নির্দেশ অনুসরণ না করে অন্য নির্দেশ অনুসরন করলো। ফলস্বরূপ,আকাশ থেকে আমরা সীমালঙ্গনকারীদের উপর শাস্তি অবতীর্ণ করলাম,তাদের অপকর্মের জন্য।",,,,
,60,"আরও অলৌকিক নিদর্শন 

","স্মরন করো যে,মুসা তার লোকদের জন্য পানি খুঁজেছিল,আমরা বলেছিলাম,""তোমার লাঠি দিয়ে পাথরটিতে আঘাত করো""। যার ফলে,সেখান থেকে বারটি ঝর্না প্রবলবেগে বের হয়ে আসলো। প্রত্যেক গোত্রের সদস্যরা তাদের নিজ নিজ পানি চিনতো। আল্লাহর দেয়া জীবিকা থেকে খাও এবং পান করো,এবং পৃথিবীতে দূর্নীতি করে বেড়িও না।",,,,
,61,ইসরাইলীরা বিদ্রোহ করে,"স্মরন করো যে তোমরা বলেছিলে,""হে মুসা,আমরা এক রকমের খাদ্য আর সহ্য করতে পারছি না। তোমার প্রভুর কাছে আহবান করো তিনি যেন আমাদের জন্য ভূমিজাত শস্য যেমন শীম,শসা,রসূন,ডাল এবং পেঁয়াজ উৎপন্ন করেন। সে বলল,""তোমরা কি ভাল জিনিসের পরিবর্তে এর চেয়ে নিম্নমানের জিনিস চাও? মিশরে গিয়ে অধঃপতিত হও,সেখানে তোমরা যা চাচ্ছ তা পাবে""। তারা নিজেদের উপর টেনে আনলো নিন্দা,লাঞ্ছনা এবং অসম্মান,এবং নিজেদের উপর নিয়ে আসলো আল্লাহর ক্রোধ। এটা এ কারনে যে তারা আল্লাহর প্রকাশণাবলী প্রত্যাখান করেছিল,এবং নবীদেরকে অন্যায়ভাবে হত্যা করেছিল। এটা এ কারনে যে,তারা অমান্য করেছিল এবং সীমালঙ্ঘন করেছিল।",,,,
,62,সকল আত্মসমর্পণকারীর ঐক্য,"নিশ্চয়ই,যারা বিশ্বাস করে,যারা ইহুদী,খ্রীস্টান,এবং ধর্মান্তরিত; যে কেউই (১) বিশ্বাস করে আল্লাহতে,এবং (২) বিশ্বাস করে শেষ দিনে,এবং (৩) সৎ জীবন-যাপন করে,তারা তাদের প্রভুর কাছ থেকে প্রতিদান পাবে। তাদের ভয়ের কিছু নেই,না তারা শোক করবে।",,,,
,63,ইসরাইলীদের সাথে অঙ্গীকার,"আমরা যখন তোমাদের উপর সিনাই পর্বত তুলে ধরে তোমাদের সাথে অঙ্গীকার করেছিলাম যে,“তোমরা দৃঢভাবে মেনে চলবে যা আমরা তোমাদের দিয়েছি,এবং এর বিষয়বস্তু স্মরণ রাখবে,যাতে তোমরা রক্ষা পেতে পার।”",,,,
,64,,"কিন্তু তোমরা এরপর মুখ ফিরিয়ে নিলে এবং যদি তোমাদের প্রতি আল্লাহর অনুগ্রহ ও কৃপা না থাকতো,তোমরা ধ্বংস হয়ে যেতে।",,,,
,65,,"তোমাদের মধ্যে যারা সাব্বাথকে অপবিত্র করেছিল তোমরা তাদের সম্পর্কে জেনেছো। আমরা তাদেরকে বললাম,“তোমরা বানরের মতো ঘৃণ্য হয়ে যাও।”",,,,
,66,,"আমরা তাদেরকে তাদের,এবং তাদের পরবর্তী প্রজন্মদের জন্য উদাহরণস্বরুপ করেছি,এবং সৎকর্মীদের জন্য করেছি একটি জ্ঞানালোক।",,,,
,67,বকনা বাছুর,"মুসা তার লোকদের বলল,“আল্লাহ তোমাদেরকে একটি বকনা বাছুর উৎসর্গ করতে আদেশ করেন।” তারা বলল,“তুমি কি আমাদের উপহাস করছো?”সে বলল,“আল্লাহ না করুন,যে আমি অজ্ঞদের মতো আচরণ করি।”",,,,
,68,,"তারা বলল,“তোমার প্রভুকে আহবান করো যেন তিনি আমাদের দেখান কোনটি।”সে বলল,“তিনি বলেছেন যে,সেটা একটি বকনা বাছুর যেটা খুব বেশি বয়ষ্ক নয়,কিংবা অল্প বয়ষ্কও নয়; মাঝামাঝি বয়সের। এবার,তোমাদেরকে যা আদেশ করা হয়েছে তা পালন করো।”",,,,
,69,,"তারা বলল,“তোমার প্রভুকে আহবান করো আমাদেকে যেন এর রং দেখান।”সে বলল,“তিনি বলেছেন যে,সেটা একটি হলুদ বকনা বাছুর,উজ্জ্বল রংয়ের,দর্শকদের মুগ্ধ করে।”",,,,
,70,,"তারা বলল,“তোমার প্রভুকে আহবান করো যেন তিনি আমাদের দেখান তা কোনটি। বকনা বাছুরগুলো আমাদের কাছে দেখতে একই রকম মনে হয়,আল্লাহ যদি চান,আমরা সুপথে পরিচালিত হবো।”",,,,
,71,,"সে বলল,“তিনি বলেন যে,এটি এমন বকনা বাছুর যেটা কখনো জমি চাষে অথবা শস্য ক্ষেতে পানি দেয়ার কাজে ব্যবহৃত হয়নি; কোনো প্রকার খুঁত মুক্ত।”তারা বলল,“এখন তুমি সত্যটা এনেছ।”তারা অবশেষে এটি উৎসর্গ করলো,এই দীর্ঘ অনীহার পর।",,,,
,72,বকনা বাছুরটির উদ্দেশ্য,"তোমরা একজনকে হত্যা করেছিলে,এরপর নিজেদের মধ্যে বিবাদ করলে। আল্লাহ তা প্রকাশ করতে চেয়েছিলেন যা তোমরা গোপন করার চেষ্টা করছিলে।",,,,
,73,,"আমরা বললাম,“(বকনা বাছুরটির) অংশ দিয়ে (মৃত ব্যক্তিটিকে) আঘাত করো।”তখনই আল্লাহ মৃত ব্যক্তিটির জীবন ফিরিয়ে দিলেন,এবং তোমাদেরকে তাঁর নিদর্শনসমূহ দেখালেন,যাতে তোমরা বুঝতে পারো।",,,,
,74,,"তা সত্ত্বেও,তোমাদের হৃদয় পাথরের মতো কঠিন হয়ে গেল,বা তার চেয়েও কঠিন। কারণ এমন পাথরও আছে যেগুলো থেকে নদী প্রবল বেগে বের হয়ে আসে। অন্যগুলো ফেঁটে যায় এবং শান্ত ঝর্ণা নির্গত হয়,এবং অন্য পাথরগুলো আল্লাহর ভয়ে খসে পড়ে। আল্লাহ কখনোই অসচেতন নন যা কিছু তোমরা করো।",,,,
,75,আল্লাহর বানী বিকৃত করা,"তোমরা কি আশা করো যে তারা তোমাদের মতো বিশ্বাস করবে,যখন তাদের মধ্যে কিছু লোক আল্লাহর কথা শুনতো,তারপর তা বিকৃত করতো,সম্পূর্ণ বুঝে-শুনে এবং ইচ্ছাকৃতভাবে?",,,,
,76,,"এবং যখন তারা বিশ্বাসীদের সাথে সাক্ষাত করে,তারা বলে,“আমরা বিশ্বাস করি,”কিন্তু যখন তারা একে অপরের সাথে মিলিত হয়,তারা বলে,“তোমাদেরকে দেয়া আল্লাহর তথ্য (বিশ্বাসীদেরকে) জানিয়ে দিয়ো না,পাছে তোমরা তোমাদের প্রভুর সম্পর্কে তাদের যুক্তিতে সমর্থন যোগাবে। তোমরা কি বোঝ না?”",,,,
,77,,"তারা কি জানে না যে,আল্লাহ জানেন যা কিছু তারা গোপন করে,এবং যা কিছু তারা প্রকাশ করে?",,,,
,78,,"তাদের মধ্যে রয়েছে ঐশীগ্রন্থ অনুসরণ না করা (উম্মী) লোক,যারা ঐশীগ্রন্থ সম্পর্কে জানে না; লোক মুখে শোনা কথা ছাড়া,তারপর তারা ধরে নেয় যে তারা তা জানে।",,,,
,79,,"কাজেই,দুর্ভোগ তাদের প্রতি যারা নিজেদের হাতে ঐশীগ্রন্থ বিকৃত করে,এরপর বলে,“এটাই আল্লাহ অবতীর্ণ করেছেন,”সস্তা পার্থিব মুনাফা খোঁজে। দূর্ভোগ তাদের প্রতি এরুপ বিকৃতির জন্য,এবং দূর্ভোগ তাদের প্রতি তাদের এই অবৈধ অর্জনের জন্য।",,,,
,80,স্বর্গ এবং নরকের চিরস্থায়িত্ব,"কেউ কেউ বলেছে,“নরক আমাদের স্পর্শ করবে না নির্দিষ্ট সংখ্যক কিছু দিন ছাড়া।”বল,“তোমরা কি আল্লাহর কাছ থেকে এমন কোন অঙ্গীকার নিয়েছ – আল্লাহ কখনোই তাঁর অঙ্গীকার ভঙ্গ করেন না – নাকি তোমরা আল্লাহ সম্পর্কে এমন কিছু বলছো যা তোমরা জানো না?”",,,,
,81,,"নিশ্চয়ই,যারা পাপ অর্জন করে এবং তাদের অসৎ কর্ম দ্বারা পরিবেষ্টিত হয়ে যায়,তারাই হবে নরকের বাসিন্দা; তারা সেখানে চিরকাল বসবাস করে।",,,,
,82,,"আর যারা বিশ্বাস করে এবং সৎ জীবন-যাপন করে,তারা হবে স্বর্গের বাসিন্দা; তারা সেখানে চিরকাল বসবাস করে।",,,,
,83,প্রত্যাদেশাবলী,"আমরা ইসরাইলের সন্তানদের সাথে একটি অঙ্গীকার করেছিলামঃ “তোমরা আল্লাহ ছাড়া আর কারো উপাসনা করবে না। তোমরা পিতামাতাকে সম্মান করবে এবং আত্মীয়-স্বজন,এতীম এবং গরীবদের প্রতি খেয়াল রাখবে। তোমরা লোকদের সাথে সুন্দর ব্যবহার করবে। তোমরা সংযোগ প্রার্থণা (সালাত) পালন করবে এবং বাধ্যতামূলক দান (যাকাত) প্রদান করবে।”কিন্তু সামান্য কয়েকজন ছাড়া,তোমরা মুখ ফিরিয়ে নিলে,এবং তোমরা বিরোধী হয়ে পড়লে।",,,,
,84,,"আমরা তোমাদের সাথে একটি অঙ্গীকার করেছিলাম যে,তোমরা নিজেদের মধ্যে রক্তপাত করবে না,না তোমরা পরস্পরকে তোমাদের ঘর-বাড়ি থেকে উচ্ছেদ করবে। তোমরা সম্মত হয়েছিলে এবং স্বাক্ষ্য দিয়েছিলে।",,,,
